Time (s) Auto,Angle (rad) Run #2
0,0
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,0
0.2,0
0.22,0
0.24,0
0.26,0
0.28,0
0.3,0
0.32,0
0.34,0
0.36,0
0.38,0
0.4,-0.01745329
0.42,-0.01745329
0.44,-0.01745329
0.46,0
0.48,0
0.5,0.03490658
0.52,0.06981316
0.54,0.12217303
0.56,0.19198619
0.58,0.27925264
0.6,0.38397238
0.62,0.48869212
0.64,0.62831844
0.66,0.76794476
0.68,0.92502437
0.7,1.09955727
0.72,1.27409017
0.74,1.48352965
0.76,1.69296913
0.78,1.9198619
0.8,2.16420796
0.82,2.42600731
0.84,2.68780666
0.86,2.9670593
0.88,3.26376523
0.9,3.57792445
0.92,3.89208367
0.94,4.22369618
0.96,4.57276198
0.98,4.92182778
1,5.28834687
1.02,5.67231925
1.04,6.05629163
1.06,6.4577173
1.08,6.85914297
1.1,7.27802193
1.12,7.71435418
1.14,8.15068643
1.16,8.58701868
1.18,9.04080422
1.2,9.51204305
1.22,9.98328188
1.24,10.45452071
1.26,10.94321283
1.28,11.43190495
1.3,11.93805036
1.32,12.44419577
1.34,12.95034118
1.36,13.45648659
1.38,13.98008529
1.4,14.50368399
1.42,15.02728269
1.44,15.56833468
1.46,16.09193338
1.48,16.63298537
1.5,17.17403736
1.52,17.71508935
1.54,18.25614134
1.56,18.79719333
1.58,19.33824532
1.6,19.8967506
1.62,20.43780259
1.64,20.97885458
1.66,21.51990657
1.68,22.06095856
1.7,22.60201055
1.72,23.14306254
1.74,23.68411453
1.76,24.22516652
1.78,24.74876522
1.8,25.27236392
1.82,25.79596262
1.84,26.31956132
1.86,26.82570673
1.88,27.33185214
1.9,27.83799755
1.92,28.34414296
1.94,28.83283508
1.96,29.3215272
1.98,29.79276603
2,30.26400486
2.02,30.7177904
2.04,31.18902923
2.06,31.62536148
2.08,32.06169373
2.1,32.49802598
2.12,32.91690494
2.14,33.31833061
2.16,33.71975628
2.18,34.12118195
2.2,34.48770104
2.22,34.87167342
2.24,35.22073922
2.26,35.56980502
2.28,35.90141753
2.3,36.23303004
2.32,36.54718926
2.34,36.84389519
2.36,37.14060112
2.38,37.41985376
2.4,37.68165311
2.42,37.92599917
2.44,38.17034523
2.46,38.37978471
2.48,38.60667748
2.5,38.79866367
2.52,38.99064986
2.54,39.14772947
2.56,39.30480908
2.58,39.4444354
2.6,39.58406172
2.62,39.68878146
2.64,39.7935012
2.66,39.88076765
2.68,39.95058081
2.7,40.00294068
2.72,40.05530055
2.74,40.07275384
2.76,40.09020713
2.78,40.09020713
2.8,40.07275384
2.82,40.05530055
2.84,40.00294068
2.86,39.95058081
2.88,39.88076765
2.9,39.7935012
2.92,39.68878146
2.94,39.58406172
2.96,39.4444354
2.98,39.30480908
3,39.16518276
3.02,38.99064986
3.04,38.81611696
3.06,38.62413077
3.08,38.41469129
3.1,38.20525181
3.12,37.97835904
3.14,37.73401298
3.16,37.48966692
3.18,37.22786757
3.2,36.94861493
3.22,36.651909
3.24,36.35520307
3.26,36.05849714
3.28,35.72688463
3.3,35.39527212
3.32,35.06365961
3.34,34.71459381
3.36,34.34807472
3.38,33.98155563
3.4,33.61503654
3.42,33.23106416
3.44,32.82963849
3.46,32.42821282
3.48,32.02678715
3.5,31.60790819
3.52,31.17157594
3.54,30.75269698
3.56,30.31636473
3.58,29.86257919
3.6,29.40879365
3.62,28.95500811
3.64,28.50122257
3.66,28.02998374
3.68,27.55874491
3.7,27.08750608
3.72,26.61626725
3.74,26.12757513
3.76,25.6563363
3.78,25.16764418
3.8,24.67895206
3.82,24.19025994
3.84,23.68411453
3.86,23.19542241
3.88,22.70673029
3.9,22.20058488
3.92,21.71189276
3.94,21.22320064
3.96,20.71705523
3.98,20.22836311
4,19.73967099
4.02,19.25097887
4.04,18.76228675
4.06,18.29104792
4.08,17.8023558
4.1,17.33111697
4.12,16.84242485
4.14,16.37118602
4.16,15.91740048
4.18,15.44616165
4.2,14.99237611
4.22,14.53859057
